img_name,label
29058502_4pl_brightened.jpg,T-shirts
29058502_4pl_flipped.jpg,T-shirts
29058502_4pl_gaussian.jpg,T-shirts
29058502_4pl_wiener.jpg,T-shirts
29058503_4pl_brightened.jpg,T-shirts
29058503_4pl_flipped.jpg,T-shirts
29058503_4pl_gaussian.jpg,T-shirts
29058503_4pl_wiener.jpg,T-shirts
29058703_4pl_brightened.jpg,Jeans
29058703_4pl_flipped.jpg,Jeans
29058703_4pl_gaussian.jpg,Jeans
29058703_4pl_wiener.jpg,Jeans
29058718_4pl_brightened.jpg,Jeans
29058718_4pl_flipped.jpg,Jeans
29058718_4pl_gaussian.jpg,Jeans
29058718_4pl_wiener.jpg,Jeans
29058790_4pl_brightened.jpg,Jeans
29058790_4pl_flipped.jpg,Jeans
29058790_4pl_gaussian.jpg,Jeans
29058790_4pl_wiener.jpg,Jeans
29058890_4pl_brightened.jpg,T-shirts
29058890_4pl_flipped.jpg,T-shirts
29058890_4pl_gaussian.jpg,T-shirts
29058890_4pl_wiener.jpg,T-shirts
29058891_4pl_brightened.jpg,Skirts
29058891_4pl_flipped.jpg,Skirts
29058891_4pl_gaussian.jpg,Skirts
29058891_4pl_wiener.jpg,Skirts
29058897_4pl_brightened.jpg,Jackets
29058897_4pl_flipped.jpg,Jackets
29058897_4pl_gaussian.jpg,Jackets
29058897_4pl_wiener.jpg,Jackets
29061103_4pl_brightened.jpg,Skirts
29061103_4pl_flipped.jpg,Skirts
29061103_4pl_gaussian.jpg,Skirts
29061103_4pl_wiener.jpg,Skirts
29061191_4pl_brightened.jpg,Hoodies
29061191_4pl_flipped.jpg,Hoodies
29061191_4pl_gaussian.jpg,Hoodies
29061191_4pl_wiener.jpg,Hoodies
29063391_4pl_brightened.jpg,T-shirts
29063391_4pl_flipped.jpg,T-shirts
29063391_4pl_gaussian.jpg,T-shirts
29063391_4pl_wiener.jpg,T-shirts
29063392_4pl_brightened.jpg,Hoodies
29063392_4pl_flipped.jpg,Hoodies
29063392_4pl_gaussian.jpg,Hoodies
29063392_4pl_wiener.jpg,Hoodies
29063393_4pl_brightened.jpg,Jackets
29063393_4pl_flipped.jpg,Jackets
29063393_4pl_gaussian.jpg,Jackets
29063393_4pl_wiener.jpg,Jackets
29063394_4pl_brightened.jpg,Jackets
29063394_4pl_flipped.jpg,Jackets
29063394_4pl_gaussian.jpg,Jackets
29063394_4pl_wiener.jpg,Jackets
29063395_4pl_brightened.jpg,Dresses
29063395_4pl_flipped.jpg,Dresses
29063395_4pl_gaussian.jpg,Dresses
29063395_4pl_wiener.jpg,Dresses
29063403_4pl_brightened.jpg,Jackets
29063403_4pl_flipped.jpg,Jackets
29063403_4pl_gaussian.jpg,Jackets
29063403_4pl_wiener.jpg,Jackets
29063490_4pl_brightened.jpg,T-shirts
29063490_4pl_flipped.jpg,T-shirts
29063490_4pl_gaussian.jpg,T-shirts
29063490_4pl_wiener.jpg,T-shirts
29063491_4pl_brightened.jpg,Jeans
29063491_4pl_flipped.jpg,Jeans
29063491_4pl_gaussian.jpg,Jeans
29063491_4pl_wiener.jpg,Jeans
29066303_4pl_brightened.jpg,Suits
29066303_4pl_flipped.jpg,Suits
29066303_4pl_gaussian.jpg,Suits
29066303_4pl_wiener.jpg,Suits
29084202_4pl_brightened.jpg,Skirts
29084202_4pl_flipped.jpg,Skirts
29084202_4pl_gaussian.jpg,Skirts
29084202_4pl_wiener.jpg,Skirts
29084290_4pl_brightened.jpg,T-shirts
29084290_4pl_flipped.jpg,T-shirts
29084290_4pl_gaussian.jpg,T-shirts
29084290_4pl_wiener.jpg,T-shirts
29084291_4pl_brightened.jpg,Jeans
29084291_4pl_flipped.jpg,Jeans
29084291_4pl_gaussian.jpg,Jeans
